Sampling Event Number,Survey Date,Analysis Date,Name of Analyzer,Time Zone,DR1900 Nutrient Program,GEM Sample ID,Result (mg/L),Comments,Quality Flag,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_Blank,0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(001),2.01,,,,,,,,,,,,,,,,,,,,,,
1_1,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(001),0.11,,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(002),0.14,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(002),2.00,,,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(003),0.06,,1,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(004),0.08,Shook sample cell & remeasured (003 sample),1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(005),0.11,,1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_SMPL(006),0.12,Shook sample cell & remeasured (005 sample),1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_2MGL_STD(003),1.99,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_NRM(001),0.15,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,490 P React PV,PO4_NRM(002),0.14,,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_Blank,0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_50MGL_STD1(029),50.6,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_50MGL_STD1(030),49.9,Silicate Std remeasure,,,,,,,,,,,,,,,,,,,,,
1_1,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(001),1.1,,1,,,,,,,,,,,,,,,,,,,,
1_1,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(002),1.0,Remeasure of 001 sample,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(003),1.7,,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(004),1.6,Remeasure of 003 sample,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_50MGL_STD1(031),49,Silicate Std remeasure,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_HI_NNRM,7.2,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_HI_NNRM,7.1,,,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(005),0.8,,1,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(006),0.8,Remeasure of 005 sample,1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(007),1.6,,1,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,656 Silica HR,S_SMPL(008),1.6,Remeasure of 007 sample,1,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_Blank,0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_10MGL_STD(032),9.7,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_10MGL_STD(033),9.7,,,,,,,,,,,,,,,,,,,,,,
1_1,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(007),0.0,,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(008),0.6,,1,,,,,,,,,,,,,,,,,,,,
1_2,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(009),0.6,Remeasure of 008 sample,1,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(010),-0.1,,3,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(011),-0.1,Remeasure of 010 sample,3,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(012),Under Range!,,3,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_10MGL_STD(034),9.8,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_Blank(001),0.0,,,,,,,,,,,,,,,,,,,,,,
1_3,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(013),-0.1,Remeasure of 010 sample,3,,,,,,,,,,,,,,,,,,,,
1_5,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_SMPL(014),Under Range!,Remeasure of 012 sample,3,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_NRM(013),0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_NRM(014),0.0,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_10MGL_STD(035),10.2,,,,,,,,,,,,,,,,,,,,,,
,2024-09-16,2024-09-16,Carrie Weekes,PDT,346 N Inorganic TNT,N_10MGL_STD(036),10.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
